cct,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32EJN0239H,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0623D,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3
32DJN0647N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1291L,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0405Q,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN1628F,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0319U,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0092F,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9
32EJN0214Z,2,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,3,3,1,1,1,1
32DJN0513Y,5,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,7,6,7,6,6
32EJN0541T,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32EJN0456W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
32EJN0410A,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,1,1,1,1
32DJN0622E,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0537H,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32EJN0325D,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1604W,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN1292K,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0434K,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
32DJN0646O,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1629E,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32EJN0542S,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0645P,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,1,1,1,1
32DJN0091G,5,6,6,6,6,5,6,7,8,8,8,8,8,9,9,10,9,9,9,9,9,9
32DJN0512Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1095J,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32DJN1180G,2,3,3,3,3,2,3,3,2,2,2,3,3,2,3,2,2,2,1,1,1,1
32EJN0215Y,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0669Z,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,1,1
32DJN0428A,3,3,2,3,3,3,3,3,3,2,3,3,3,2,2,3,2,2,1,1,1,1
32DJN1099F,2,2,3,2,3,3,2,2,3,3,3,3,3,2,2,2,3,3,1,1,1,1
32DJN1184C,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0070U,4,4,4,3,4,4,3,3,4,4,4,5,5,7,7,6,6,7,6,6,6,6
32DJN0625B,3,2,3,3,3,3,2,2,3,2,3,2,2,2,2,3,2,2,1,1,1,1
32DJN0649L,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0435J,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,1,1,1,1
32DJN1517A,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,1,1,1,1
32DJN0095C,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2
32EJN0543R,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
32DJN0094D,3,3,3,3,3,3,3,3,4,3,4,4,4,5,5,5,5,5,4,5,5,5
32EJN0301U,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
32DJN1050N,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1
32EJN0216X,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
32DJN0515W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0600T,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1183D,2,3,3,3,3,3,3,3,2,2,2,3,3,2,2,3,2,2,1,1,1,1
32DJN0539F,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,1,1,1,1
32DJN0624C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN1073Y,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0521F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
32EJN0436I,6,5,5,5,5,5,5,5,5,5,5,6,6,7,6,6,5,5,5,5,5,5
32DJN1290M,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,1,1,1,1
32DJN0648M,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2
32DJN0093E,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,4,3,3,3,3
32DJN0514X,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32EJN0459T,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2
32EJN0302T,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3
32EJN0217W,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,1,2,1,2
32EJN0544Q,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32EJN0568Z,3,3,3,2,2,2,2,2,2,3,2,1,1,2,1,2,1,1,1,1,1,1
32DJN1097H,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,3,1,1,1,1
32EJN0522E,3,3,3,4,4,4,4,4,4,4,4,4,4,6,6,6,6,7,6,6,6,6
32EJN0437H,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0181Z,5,5,4,5,5,5,5,6,6,6,6,7,7,7,7,6,7,8,7,6,6,6
32DJN0097A,6,7,6,6,7,7,7,7,7,7,7,7,7,8,7,7,7,8,8,7,7,7
32DJN0518T,3,2,2,2,3,3,3,3,2,2,2,3,3,3,2,3,3,3,1,2,2,2
32DJN0603Q,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2
32DJN1076V,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0602R,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,1,1,1,1
32DJN0517U,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2,2,2
32EJN0545P,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0290F,2,3,3,2,2,3,3,3,3,3,3,2,2,3,3,2,3,2,1,1,1,2
32DJN1052L,3,3,2,3,3,2,2,2,3,2,2,3,3,3,3,3,3,3,1,1,1,1
32EJN0569Z,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32EJN0328A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0072S,10,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
32EJN0412Z,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32DJN0071T,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,5,5,5,5
32EJN0438G,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN1185B,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,2,2,1,1,1,1
32EJN0547N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN0180Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0408N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32EJN0305Q,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,1,1,1,1
32DJN0096B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
